,game_id,home_gk_overall,home_dc_overall,home_mid_overall,home_st_overall,away_gk_overall,away_dc_overall,away_mid_overall,away_st_overall,homeScore,awayScore,matchResult
869,d3388c96,67.0,78.25,83.0,61.0,68.0,65.0,61.0,63.5,1,2,Away
870,789f3720,61.0,64.66666666666667,64.66666666666667,64.0,67.0,65.6,67.0,64.5,2,0,Home
871,b0aa88a4,65.0,74.25,74.75,71.5,61.0,65.5,64.33333333333333,62.666666666666664,3,1,Home
872,a4636c9d,68.0,69.25,66.5,58.0,61.0,64.0,67.66666666666667,61.0,1,1,Draw
873,a0e24fef,68.0,73.8,75.33333333333333,61.5,71.0,65.75,64.33333333333333,65.0,1,1,Draw
874,f6f76317,64.0,67.25,66.0,67.33333333333333,61.0,73.25,69.0,70.5,4,3,Home
875,c0e30df7,64.0,61.8,59.5,58.0,empty,63.166666666666664,64.66666666666667,65.5,1,0,Home
876,95bdd121,78.0,60.333333333333336,63.0,68.5,68.0,68.0,69.0,65.5,2,0,Home
877,7457568d,62.0,65.0,66.75,69.0,63.0,66.6,73.5,66.5,1,3,Away
878,4c072743,69.0,73.25,74.5,58.5,67.0,67.2,59.4,72.66666666666667,0,0,Draw
879,919e3eb7,69.0,72.75,73.75,62.666666666666664,63.0,67.25,68.75,63.0,0,0,Draw
880,eac47cb2,63.0,60.166666666666664,63.0,64.0,70.0,63.166666666666664,69.33333333333333,66.5,2,1,Home
881,6eba535c,63.0,68.0,68.5,84.25,68.0,68.6,65.66666666666667,73.0,1,2,Away
882,7b92b3c7,63.0,61.2,62.0,66.5,68.0,65.8,61.0,65.0,3,1,Home
883,9b9d6335,66.0,64.0,64.66666666666667,71.5,66.0,66.0,59.6,68.75,1,1,Draw
884,2e9cdf18,78.0,73.8,75.33333333333333,68.25,66.0,66.75,65.66666666666667,63.0,0,1,Away
885,c832a039,63.0,64.66666666666667,64.66666666666667,74.0,69.0,66.25,63.666666666666664,65.0,4,3,Home
886,97218e9f,62.0,65.8,69.66666666666667,68.75,70.0,78.25,70.0,70.5,0,4,Away
887,aac55b7f,63.0,72.0,75.0,61.666666666666664,69.0,64.6,68.75,67.0,4,4,Draw
888,c05c14ef,68.0,64.66666666666667,64.66666666666667,57.333333333333336,69.0,60.6,69.0,66.5,1,0,Home
889,d1a443e5,69.0,66.0,70.0,64.5,66.0,63.166666666666664,83.0,65.5,1,2,Away
890,063d7b6b,64.0,73.8,75.33333333333333,71.0,69.0,67.75,66.75,84.0,3,2,Home
891,8fe3b615,70.0,78.25,83.0,71.5,63.0,60.57142857142857,61.25,54.0,5,0,Home
892,3b6337dc,78.0,68.0,68.5,60.0,68.0,66.25,59.6,65.0,2,0,Home
893,60fc3feb,64.0,65.2,66.0,69.0,69.0,67.25,69.75,63.0,1,0,Home
894,d6f1201f,68.0,66.5,68.33333333333333,63.0,70.0,65.8,63.0,61.0,4,1,Home
895,195113d1,69.0,73.25,74.5,65.5,64.0,64.75,67.33333333333333,57.5,5,1,Home
896,02deea82,64.0,73.8,74.0,74.0,63.0,68.6,67.0,65.5,1,1,Draw
897,0fb64fd7,62.0,66.0,68.33333333333333,66.5,63.0,79.33333333333333,63.666666666666664,68.75,1,4,Away
898,4ffd6c40,63.0,73.75,75.0,73.0,66.0,63.166666666666664,64.66666666666667,65.0,1,0,Home
